MSID;Название;Широта;Долгота;V10 по месяцам, январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;V100 по месяцам, январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;V200 по месяцам, январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;m по месяцам,январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;Среднее m;a;b;R
25954;Корф;60,3;166;7,8;7,8;6,9;5,1;2,7;2,7;2,9;3;3,8;5,6;6,9;7,9;9,5;9,2;8,7;7,2;5,2;4,8;5,1;5,7;6,7;7,6;8,8;9,5;8,3;7,8;7,6;6,7;5;4,3;4,8;5,4;6,5;6,9;7,9;8,5;0,0856290025983674;0,0716932246550749;0,100670161881363;0,149762320333332;0,284639579475812;0,2498774732166;0,24517217819898;0,278753600952829;0,246291206084016;0,132625565274591;0,105633581412913;0,0800965139984063;0,169237034006857;0,9247;-1,159;0,977650244208019
31707;Екатерино-Никольское;47,7;131;3,4;3;2,8;2,2;2;1,9;1,6;1,7;1,8;2,1;2,6;3,2;7,2;7,5;7,8;7,2;7,2;6,4;5,9;6,4;6,6;6,7;7,2;7;7,2;7,8;8;7,3;7,2;6,3;5,6;6,1;6,6;6,7;7,2;7,1;0,325853579389013;0,397940008672038;0,444936571348261;0,514909815609062;0,556302500767287;0,527426373031058;0,566732028986219;0,575731052605613;0,564271430438563;0,503855507966907;0,44235914846045;0,339948061694351;0,480022173247402;0,8684;-0,738;0,9559811713627
24688;Оймякон;63,3;143,1;0,1;0,1;0,3;1,2;1,2;1,1;0,8;0,7;0,9;0,6;0,3;0,1;0,8;0,8;1,1;3;3,5;3,6;3,2;3,1;3,3;2,4;1,1;0,9;1;1;1,6;3,6;4,1;4,1;3,9;3,7;3,6;2,9;1,6;1,3;0,903089986991944;0,903089986991944;0,564271430438563;0,397940008672038;0,464886798302651;0,514909815609062;0,602059991327962;0,646263653820016;0,564271430438563;0,602059991327962;0,564271430438563;0,954242509439325;0,640113086149883;0,504;-0,244;0,893420393767682
24959;Якутск;62,1;129,8;1;1,1;1,5;2;2,2;2;1,7;1,8;1,9;2;1,5;0,8;3,1;3,7;4,3;5,4;5,8;5,4;4,9;5,1;5,2;5;4,1;3,1;4,1;4,3;5,2;6,5;7;6,6;6;6,1;6,1;5,8;4,9;4,1;0,491361693834273;0,52680903890877;0,457377196523905;0,431363764158987;0,421005312740731;0,431363764158987;0,45974715865024;0,45229767099463;0,43724974268197;0,397940008672038;0,436692597664054;0,588271706842329;0,46095663798591;0,5252;-0,307;0,923688259100439
31004;Алдан;58,6;125,4;2,8;2,2;2,7;3;2,6;2,4;1,8;1,9;2,2;2,7;2,9;2,5;6,9;6,3;6,5;7,3;6,8;6,5;4,8;5,7;6,5;7,1;7,4;6,9;6,8;6,1;6,3;7,2;6,6;6,2;5;5,4;6,1;6,9;7,8;6,9;0,391691059395036;0,456917868631375;0,381549592483868;0,386201605400793;0,417535564735418;0,43270211493125;0,425968732272281;0,477121254719662;0,470490675820649;0,419894584560088;0,40683372183202;0,440909082065218;0,425651321403972;0,5739;-0,337;0,742293742395825
24944;Олекминск;60,4;120,4;0,9;0,6;0,6;1,1;0,9;1;0,8;1;1,1;1,5;1,6;1,2;3,9;3,7;3,6;4,3;4,3;4,2;4,2;4;4;4,4;4,2;4;4,9;4,4;4,5;5,1;5,2;4,7;4,5;4,3;4,4;5,2;4,9;4,6;0,636822097587174;0,790050473683351;0,778151250383644;0,592075770421361;0,679225946140262;0,6232492903979;0,720159303405957;0,602059991327962;0,560667306169737;0,467361417430506;0,419129307741976;0,522878745280338;0,615985908330847;0,5994;-0,617;0,976422039898732
21647;м.Салаурова;73,2;143,2;5,1;4,9;4,3;5;5,6;5,9;5,5;5,6;6;5,8;5,1;5,3;7,5;7,5;7,4;6,8;7,2;7,6;7,6;7,6;7,4;7,5;7;7,3;8;8,2;8;7,2;7,3;7,7;7,9;8;7,5;7,9;7,2;7,9;0,167491087293764;0,184865183363186;0,23576326415139;0,133538908370217;0,109144469425068;0,109961580638647;0,140450902786548;0,132625565274591;0,0910804693473326;0,111633269828763;0,13752786391632;0,139046990519667;0,141094129576291;9,3989;-2,531;0,926066952223218
21965;о.Четырёхстолбовой;70,6;162,4;6,5;6,1;6,1;6;6;6,1;5,9;5,4;5,8;6,1;6,8;5,8;7,7;8;8,4;8,4;8,8;9;9,2;8,2;8,3;8,3;8,9;7,8;7,3;8,1;8,1;7,9;8,1;8,3;8,3;7,4;7,6;7,7;8,5;7,5;0,0735773685296263;0,117760151981177;0,138949451051115;0,146128035678238;0,166331421766525;0,168912674428558;0,192935815703411;0,181420092560748;0,155650098813137;0,133748257365307;0,116881093938676;0,128666609127543;0,143413422578672;29,183;-2,971;0,660908465674332
21824;Тикси;71,6;128,9;5,1;4,8;4,2;3,3;3,8;3,7;3,7;4,5;4,8;5,8;5,4;4,9;7,2;6,7;6,6;5,9;4,9;5,3;5,3;6,1;6,8;7,6;6,2;6,2;7;6,8;6,6;6;5,6;6,1;6,2;6,8;7,2;8,1;6,3;6,4;0,149762320333332;0,144833565325239;0,196294645143968;0,252338071764257;0,110412483411704;0,156074145533794;0,156074145533794;0,132117321235423;0,151267675330649;0,117385598717854;0,0599979296752854;0,10219560946974;0,14406279262292;0,9072;-1,271;0,620564259364008
24266;Верхоянск;67,6;133,4;0,4;0,3;0,5;1;1,2;1,3;1;0,8;1;0,9;0,6;0,5;1,9;1,8;2,5;3,6;3,8;4,1;4,1;3,3;3,5;3;2;1,9;2,1;2,2;2,8;3,6;3,9;4,4;4,2;3,5;3,7;3,3;2,5;2,3;0,676693609624866;0,778151250383644;0,698970004336019;0,556302500767287;0,500602350569185;0,498840504412899;0,612783856719735;0,615423952885944;0,544068044350276;0,522878745280338;0,522878745280338;0,57978359661681;0,592281430102278;0,5413;-0,247;0,815107354892593
24125;Оленек;68,5;112,4;1,3;1,3;1,5;2,3;2,7;2,4;2;2;2,3;2;1,6;1,3;4,1;4,4;4,7;5,5;5,6;5,9;5,3;5;5;4,9;4,4;4,6;5,1;5,4;5,7;6,3;6,4;6,9;6,2;5,9;5,7;5,9;5,1;5,7;0,498840504412899;0,529509324179351;0,496006598880036;0,378634853476651;0,316824262847213;0,390640769930538;0,423245873936808;0,397940008672038;0,337242168318426;0,389166084364532;0,439332693830263;0,548814479374737;0,428849801851958;0,6213;-0,634;0,95420123663722
24343;Жиганск;66,8;123,4;2,9;2,7;3,8;3,8;3,5;3,5;3,7;3,4;3,1;3,2;2,9;2,9;6,1;5,7;7,2;7,3;7,2;7,7;8,1;7,6;7,2;6,6;6,2;5,8;6,9;6,2;7,7;7,6;7,3;8;7,8;7,4;7,3;7,1;6,9;6,6;0,322931837111811;0,324511091513504;0,277548899814458;0,283539263503646;0,313264452080993;0,342422680822206;0,340283294811655;0,349334675238536;0,365970802596996;0,314393957221963;0,329993691599298;0,301029995663981;0,322102053498254;0,4109;-0,209;0,300166620396073
24641;Вилюйск;63,8;121,6;1,5;1,4;1,6;1,7;1,6;1,5;1,2;1,2;1,6;2,1;1,8;1,5;5,6;5,2;5,8;6,7;6,4;6,7;6,3;6,1;5,9;6;5,8;5,5;6,1;5,7;6,4;7,1;7;7,2;6,9;6,4;6,4;6,6;6,6;6,1;0,572096767950519;0,569875307956561;0,559308010907012;0,595625881322553;0,602059991327962;0,649983543645145;0,720159303405957;0,706148588963142;0,566732028986219;0,455931955649724;0,508155488459631;0,564271430438563;0,589195691584416;0,8013;-0,728;0,896660470858396
30054;Витим;59,5;112,6;2,2;1;1,8;2,1;1,9;1,6;1,6;1,8;1,9;2,7;2,6;2,4;4,8;3;4,6;4,8;4,3;3,7;4;4,2;4,3;4,5;5;4,8;5,8;3,5;5;5,4;5;4,1;4,2;4,2;4,6;5,3;5,6;5,6;0,338818556553381;0,477121254719662;0,407485326578268;0,359021942641668;0,354714854626758;0,36408174141107;0,397940008672038;0,367976785294594;0,354714854626758;0,221848749616356;0,283996656365201;0,301029995663981;0,352395893897478;0,5238;-0,639;0,878692210048547
24790;Сусуман;62,8;148,1;1,5;1,9;2,2;2,4;2;1,5;1,4;1,3;2;1,7;1,5;1,2;3,5;3,7;4;4,4;4,2;3,7;3,7;3,8;4,3;3,5;3,1;3,1;3,4;3,6;3,9;4;4;3,7;3,6;3,7;4;3,2;2,9;3;0,367976785294594;0,289448123114166;0,259637310505756;0,263241434774581;0,322219294733919;0,392110465011314;0,422073688388757;0,465840244309973;0,332438459915605;0,313619122972002;0,315270434778591;0,412180447786648;0,346337984298826;0,5049;-0,758;0,882383136738231
25913;б.Нагаева (Магадан);59,6;150,8;5,5;5,3;5,4;4,6;3,7;3,5;3,2;3,3;4,1;4,5;5,7;6,2;6,3;6,4;5,9;5,3;4,8;4,7;4,1;4,8;4,8;5,7;6,6;6,7;6,9;7,2;6,8;6;5,6;5,3;4,7;5,2;5,8;6,1;7,5;7,2;0,0589778599593379;0,0819041043830982;0,0384582518191757;0,061518037919215;0,113039513308592;0,128029813585442;0,107633878399829;0,1627272974977;0,0684573806558518;0,102662341897148;0,0636690798693772;0,0336831132025725;0,0850633893747783;1,0754;-1,759;0,848174510345601
25703;Сеймчан;62,9;152,4;1;1,2;1;1,7;2,1;1,5;1,5;1,3;1,8;1,2;0,8;0,6;3;2,9;3,1;3,9;4,5;4,4;4,1;3,4;3,8;3,2;3;2,8;3,1;3;3,6;4,6;5,2;4,8;4,6;4,1;4,5;3,8;3,1;2,8;0,477121254719662;0,383216751851331;0,491361693834273;0,360615685648225;0,330993219041424;0,467361417430506;0,436692597664054;0,417535564735418;0,324511091513504;0,425968732272281;0,574031267727719;0,669006780958576;0,446534671449748;0,4917;-0,552;0,920869154657707
25822;Гижига;61,9;160,4;9,5;9,8;8,5;6,2;3,9;2,7;2,9;3,3;3,5;5,4;8,1;9;10,8;10,9;9,5;8,4;7,3;5,6;5,9;6,3;7,2;9;10,1;10,1;9,8;10,2;8,4;7,2;6,5;5,1;5,6;5,8;6,4;7,9;9,1;8,9;0,0557001501981019;0,0462004222481288;0,048304679574555;0,131887596563628;0,272258253093957;0,316824262847213;0,308454013743188;0,280826609575694;0,313264452080993;0,221848749616356;0,0958363549039928;0,0500788643433177;0,17845703406576;1,9895;-1,582;0,954882191686493
31512;Благовещенск;50,3;127,5;3,9;3,5;4,6;4,8;4,1;3,1;2,4;3;3,9;4;4;3,5;6,5;6,2;7;7,6;7;6,2;5,5;6;6,5;6,9;6,4;6;7,2;6,7;7,5;8,2;7,4;6,8;5,7;6,1;7,3;7,2;7,1;7,3;0,221848749616356;0,248323645147978;0,182340208332683;0,199572354905204;0,232314183294521;0,301029995663981;0,360151447782638;0,301029995663981;0,221848749616356;0,236789099409293;0,204119982655925;0,234083206033368;0,245287634843524;0,8438;-0,964;0,955771939324439
25428;Омолон;65,2;160,5;1,3;0,7;0,9;1,8;2,5;2,2;1,7;1,5;1,6;1,6;1,1;0,6;3,7;3,3;3,7;5,1;5,9;5,3;4,9;4,8;4,8;4,6;4,1;3,5;4,1;3,7;4,1;5,3;5,8;5,5;5;5,2;5;4,8;4,5;3,9;0,454258371760158;0,673415899863631;0,61395921462767;0,45229767099463;0,372912002970107;0,381853188778583;0,45974715865024;0,505149978319906;0,477121254719662;0,458637849025649;0,57139117156151;0,765916793966632;0,515555046269865;0,5821;-0,486;0,977036335045939
25173;м.Шмидта;68,9;180,5;5,6;5,3;4,6;4;3,5;3,4;3,6;4,2;5;5,8;6,9;5,8;8,4;8,5;7,8;7,1;7,1;6,5;6,7;7,2;7,2;8,1;9,7;8,4;8,5;8,8;7,7;6,9;6,6;6,2;6,3;7,2;7,4;8,2;10,2;8,8;0,176091259055681;0,205143056113504;0,229336771008906;0,249198357391113;0,3071903043688;0,2814344396006;0,269772301933539;0,234083206033368;0,15836249209525;0,145057025315712;0,147922643528989;0,160851292498944;0,213703595745367;1,1033;-1,083;0,938189746266713
25551;Марково;64,7;170,4;3,1;3,1;2,9;2,3;2,3;2;2,1;2,1;1,9;2,6;2,8;2,6;7;7,2;6,3;6,3;5,3;4,9;5,4;6;6;6;6,5;6,6;7,2;7,3;6,3;5,6;5,1;4,8;5,5;5,9;5,9;6;6,5;6,5;0,353736346179984;0,365970802596996;0,336942551554626;0,437612713435989;0,362548033583196;0,389166084364532;0,410174465089049;0,455931955649724;0,499397649430815;0,363177902412826;0,365755325300636;0,404570587571051;0,395415368097452;0,6277;-0,523;0,766289762426721
25563;Анадырь;64,8;177,6;7,3;6;5,6;5,7;5;4,9;6,3;5,2;4,8;7,1;8,2;7,7;8,6;7,5;7;7,2;6,3;6,7;7,6;6,7;6,3;8;9,2;8,6;8,6;7,3;6,9;7,1;6,2;6,7;7,4;6,8;6,6;8;9,2;8,4;0,0711755911231118;0,0969100130080564;0,0969100130080564;0,101457640758777;0,100370545117563;0,135878722672313;0,0814730428272096;0,110071459066027;0,118099312077994;0,0518316382728683;0,0499739749618386;0,0480077260710858;0,0885133065804084;2,1141;-1,792;0,942920993509
30673;Могоча;53,7;119,8;1;1;1,5;1,9;1,9;1,3;0,9;0,7;1,2;1,3;0,8;0,8;4,9;4,7;5,3;5,4;5,5;4,7;4,5;4,5;5;5,1;4,6;4,7;4,7;4,5;5,2;5,6;5,5;4,5;4,2;4,2;4,9;5,1;4,4;4,5;0,690196080028514;0,672097857935718;0,548184610545108;0,45364015887014;0,461609088541415;0,558154505628881;0,698970004336019;0,808114473761087;0,619788758288394;0,5936268237911;0,75966784468963;0,769007870943774;0,636088173113315;0,6718;-0,572;0,992975326984513
30965;Борзя;50,4;116,5;2,4;2,4;3;3,7;3,4;2,8;2,3;2,4;2,8;2,6;2,1;2;5,9;5,3;6,7;8;7,8;7,2;6,9;6,7;7;7,1;5,9;5,7;6,7;6,3;7,3;9,1;8,8;7,9;6,4;6,6;7,4;7,8;6,9;6,6;0,390640769930538;0,344064627889183;0,348953547981164;0,334888262924948;0,360615685648225;0,410174465089049;0,477121254719662;0,44586356098922;0,397940008672038;0,436285000748257;0,448632716908225;0,45484486000851;0,404168730125752;0,6415;-0,488;0,736545993132812
30759;Чита;52;113,3;1,2;1,3;2,1;2,1;2,1;1,8;1,4;1,3;1,6;1,7;1,8;1,5;4;4;4,5;4,7;4,6;4,6;3,8;4,4;4,4;4,4;4,5;4,1;4,8;4,9;5,3;5,6;5,4;5,2;3,9;4,4;5;5,1;5,3;5,1;0,522878745280338;0,488116639021126;0,330993219041424;0,349878563201798;0,340538536947655;0,407485326578268;0,433655560938572;0,529509324179351;0,439332693830263;0,413003755107914;0,397940008672038;0,436692597664054;0,424168747538567;0,6053;-0,752;0,96591925128346
30935;Красный Чикой;50,4;108,8;0,6;0,5;0,9;1,2;1;0,5;0,5;0,3;0,6;0,6;0,7;0,6;2,6;2,8;3,2;3,6;3,3;2,7;2,9;2,7;3,5;2,9;3,1;3,3;3,2;3,2;3,7;4,2;3,7;2,9;3,2;3,2;3,6;3,3;3,6;3,9;0,636822097587174;0,7481880270062;0,550907468880581;0,477121254719662;0,518513939877887;0,732393759822969;0,763427993562937;0,954242509439325;0,765916793966632;0,684246747515312;0,646263653820016;0,740362689494244;0,684867244641078;0,5305;-0,511;0,968194195396771
30555;Троицкий прииск;54,6;113,1;1,1;0,7;1,2;1,6;1,2;0,8;0,4;0,3;0,7;0,8;0,9;0,7;6,3;5,8;6,5;6,9;6,5;5,4;4,1;4,2;6,5;5,7;6,2;6;6,3;5,9;6,5;6,8;6,5;5,2;4,2;4,6;6,4;5,8;6;6,1;0,757947864295357;0,918329953548681;0,733732110595231;0,634729108081331;0,733732110595231;0,829303772831025;1,01072386539177;1,14612803567824;0,967815316628599;0,852784868680548;0,838149180058929;0,933053210369387;0,863035783062861;0,788;-0,336;0,964987046545186
30635;Усть-Баргузин;53,4;109;2,9;2;1,7;2,2;1,5;1,3;0,8;1,4;2,1;2,6;4,1;4,6;6,2;5,5;5,8;5,9;5,3;4,6;4,4;4,6;5,3;6;7,5;7,9;6,2;5,4;5,6;5,6;5,1;4,1;3,9;4,3;5,1;6;7,5;7,8;0,329993691599298;0,439332693830263;0,532979072184663;0,428429330819938;0,548184610545108;0,548814479374737;0,740362689494244;0,516629796003336;0,40205657486687;0,363177902412826;0,262277406671965;0,234869259608867;0,445592292284343;0,6778;-0,661;0,986914383318026
36096;Кызыл;51,7;94,4;0,2;0,2;0,5;2;2,2;1,6;1;1,2;1,2;0,9;0,6;0,3;2,5;2,5;3,2;4,9;5,1;4,7;4;4,1;4,1;3,5;3,3;2,8;1,4;1,5;2,4;5,3;5,7;5,3;4,4;4,6;4,7;3,6;2,7;2;1,09691001300806;1,09691001300806;0,806179973983887;0,389166084364532;0,36514749527573;0,467977875279793;0,602059991327962;0,533602610672111;0,533602610672111;0,589825534910951;0,740362689494244;0,970036776622557;0,682648472385;0,5636;-0,444;0,991463564635635
29865;Хакасская (Абакан);53,8;91,4;1,3;1,5;1,5;2,4;2,4;1,8;1;0,9;1,4;1,6;2,1;1,6;4,5;4,7;4,8;6,3;6,4;5,9;4,7;4,7;5,2;5,4;5,8;5,4;4,7;4,8;5;7,1;7,1;6,6;5,3;5,1;6;5,7;6,3;5,8;0,539269161468507;0,496006598880036;0,505149978319906;0,419129307741976;0,425968732272281;0,515579506538838;0,672097857935718;0,717855348496393;0,569875307956561;0,528273777167044;0,441208698829018;0,528273777167044;0,529890671064444;0,6584;-0,518;0,965556834163583
20292;м.Челюскина;77,7;104,3;6,7;7,2;5,7;6,8;5,8;5,4;6,3;5,6;6,5;7,1;6,6;7,5;8,1;8,8;7,4;8,4;7,3;7,2;8,4;7,9;8,5;8,6;8,7;9,1;8,2;8,9;7;8,6;7,5;7;8,6;8,1;8,6;8,7;8,7;9;0,0824102161778233;0,0871501757189002;0,113356864058485;0,0917703733556454;0,0998948665575186;0,1249387366083;0,1249387366083;0,149439064284241;0,116505569071437;0,0832401025244924;0,11997531707675;0,0839801289293936;0,106466679247607;1,4233;-1,407;0,757759856418905
20891;Хатанга;72;102,5;4,4;4,6;4,9;4,9;4,6;4,1;4,1;4,2;4,5;4,4;4,2;4,6;6,7;7,3;6,8;7,3;6,8;7;7,2;7,6;7,4;7,3;6,4;6,9;6,7;7,5;6,8;7,4;6,8;7;7,3;7,5;7,2;7,3;6,6;7,1;0,182622126214639;0,200565028438882;0,142312832677723;0,173126780091942;0,169751081024662;0,232314183294521;0,244548639711533;0,257564301882891;0,216019205955633;0,219870183634268;0,182930683585987;0,176091259055681;0,199809692130697;5,3477;-2,211;0,785938928925142
